,fecha,edad,genero,tiene_acceso_smartphone,usaria_app,usa_apps_sociales,frecuencia_problemas_seguridad,frecuencia_problemas_basura,tipos_problemas_seguridad,tipos_problemas_basura,sabe_donde_reportar,autoridades_efectivas,funciones_deseadas_app
0,2025-05-12 17:36:36,,True,True,1,True,-2,-1,['Consumo de drogas'],['Falta de recolección'],False,Algo efectiva,['Reporte de incidentes con fotos']
1,2025-05-13 06:13:56,44.0,True,True,1,True,-1,-1,['Consumo de drogas'],['Falta de recolección'],False,Algo efectiva,['Contacto con autoridades']
2,2025-05-13 06:17:58,41.0,True,True,1,True,-1,-1,['Consumo de drogas'],['Falta de recolección'],False,Poca efectiva,['Reporte de incidentes con fotos']
3,2025-05-13 17:34:19,19.0,True,True,0,True,-1,1,"['Robos', 'Vandandalismo']","['Acumulación de basura', 'Quema de basura']",False,Algo efectiva,"['Ubicación del incidente', 'Notificaciones de seguimiento', 'Foro comunitario']"
4,2025-05-13 17:35:13,25.0,False,True,1,True,-1,1,"['Vandandalismo', 'Consumo de drogas', 'Violencia']","['Falta de recolección', 'Quema de basura']",False,Poca efectiva,"['Reporte de incidentes con fotos', 'Ubicación del incidente', 'Notificaciones de seguimiento']"
5,2025-05-13 17:37:15,26.0,True,True,-1,True,-1,1,"['Vandandalismo', 'Violencia']","['Quema de basura', 'Contenedores insuficientes']",False,Nunca e probado,"['Ubicación del incidente', 'Notificaciones de seguimiento']"
6,2025-05-13 17:38:22,45.0,False,True,-1,True,-1,0,"['Robos', 'Vandandalismo']","['Acumulación de basura', 'Quema de basura']",False,Algo efectiva,"['Reporte de incidentes con fotos', 'Ubicación del incidente']"
7,2025-05-13 17:57:17,48.0,False,True,1,True,-1,1,"['Robos', 'Vandandalismo', 'Consumo de drogas', 'Violencia']","['Acumulación de basura', 'Quema de basura']",False,Poca efectiva,"['Reporte de incidentes con fotos', 'Contacto con autoridades']"
8,2025-05-13 17:58:11,,True,True,1,True,1,1,"['Robos', 'Consumo de drogas', 'Violencia']","['Acumulación de basura', 'Falta de recolección', 'Quema de basura', 'Contenedores insuficientes']",False,Nunca e probado,['Reporte de incidentes con fotos']
9,2025-05-13 18:02:34,18.0,False,True,1,True,1,1,['Consumo de drogas'],['Acumulación de basura'],False,Nunca e probado,['Contacto con autoridades']
10,2025-05-13 18:23:05,,True,True,0,True,-1,1,"['Vandandalismo', 'Consumo de drogas']","['Acumulación de basura', 'Quema de basura']",False,Nunca e probado,"['Reporte de incidentes con fotos', 'Foro comunitario']"
11,2025-05-13 20:01:01,21.0,True,True,1,True,-1,1,"['Robos', 'Vandandalismo', 'Consumo de drogas', 'Violencia']","['Acumulación de basura', 'Falta de recolección', 'Quema de basura', 'Contenedores insuficientes']",False,Poca efectiva,"['Reporte de incidentes con fotos', 'Ubicación del incidente', 'Notificaciones de seguimiento', 'Contacto con autoridades', 'Foro comunitario']"
12,2025-05-13 20:02:09,21.0,True,True,1,True,0,-1,['Otros___'],"['Acumulación de basura', 'Falta de recolección', 'Contenedores insuficientes']",False,Nada efectiva,"['Reporte de incidentes con fotos', 'Ubicación del incidente', 'Notificaciones de seguimiento', 'Contacto con autoridades', 'Foro comunitario']"
13,2025-05-13 20:03:00,,False,True,1,True,1,2,"['Robos', 'Vandandalismo', 'Consumo de drogas', 'Violencia', 'Otros___']","['Acumulación de basura', 'Quema de basura', 'Contenedores insuficientes']",False,Nada efectiva,"['Reporte de incidentes con fotos', 'Ubicación del incidente', 'Notificaciones de seguimiento', 'Contacto con autoridades', 'Foro comunitario']"
14,2025-05-13 20:03:01,19.0,True,True,1,True,-1,2,"['Robos', 'Violencia']","['Acumulación de basura', 'Falta de recolección']",False,Nunca e probado,"['Reporte de incidentes con fotos', 'Ubicación del incidente', 'Notificaciones de seguimiento', 'Contacto con autoridades']"
15,2025-05-13 20:05:58,20.0,False,True,1,True,-1,-1,"['Vandandalismo', 'Consumo de drogas']",['Falta de recolección'],False,Poca efectiva,['Ubicación del incidente']
16,2025-05-13 20:06:11,21.0,True,True,0,True,0,1,"['Robos', 'Vandandalismo', 'Consumo de drogas', 'Violencia', 'Otros___']",['Acumulación de basura'],False,Nada efectiva,"['Reporte de incidentes con fotos', 'Contacto con autoridades']"
17,2025-05-13 20:06:33,22.0,True,True,1,True,1,1,"['Robos', 'Vandandalismo', 'Consumo de drogas', 'Violencia']","['Acumulación de basura', 'Falta de recolección', 'Contenedores insuficientes']",False,Nada efectiva,"['Reporte de incidentes con fotos', 'Ubicación del incidente', 'Contacto con autoridades']"
18,2025-05-13 20:14:58,17.0,True,True,1,True,-1,1,"['Robos', 'Consumo de drogas']","['Falta de recolección', 'Contenedores insuficientes']",False,Nada efectiva,"['Reporte de incidentes con fotos', 'Contacto con autoridades', 'Foro comunitario']"
19,2025-05-13 20:48:58,18.0,False,True,0,True,-2,2,"['Vandandalismo', 'Consumo de drogas']",['Acumulación de basura'],False,Nunca e probado,"['Reporte de incidentes con fotos', 'Contacto con autoridades']"
20,2025-05-13 23:08:23,19.0,False,False,0,True,-2,-2,['Robos'],['Quema de basura'],False,Nada efectiva,['Notificaciones de seguimiento']
21,2025-05-13 23:09:25,20.0,False,True,1,True,1,1,['Consumo de drogas'],['Falta de recolección'],False,Poca efectiva,['Reporte de incidentes con fotos']
22,2025-05-14 09:14:01,22.0,False,True,1,True,1,1,"['Robos', 'Vandandalismo', 'Violencia']","['Acumulación de basura', 'Falta de recolección', 'Quema de basura']",False,Algo efectiva,"['Reporte de incidentes con fotos', 'Ubicación del incidente', 'Notificaciones de seguimiento', 'Contacto con autoridades', 'Foro comunitario']"
